"clust2","X","mds1","mds2","clust2","clust4","xphsdf","billscc","xphdr1","xphdr2","xphdr3","xphdr4","xphdr5","xphdr6","xphdr7","xphdr8","xphdr9","xphdr10","xphdr11","xphdr12","xphdr13","xphdr14","xphdd1","xphdd2","xphdd3","xphdd4","xphdd5","xphdd6","xphdd7","xphdd8","xphdd9","hscntcr1","hscntcr2","hscntcr","hscrchg","saving","id","weight","year","sex","age","age_grp","region","gor","mastat","hushop","hhsize","lstage","nkids","parent","ch03","ch45","ch69","ch1015","qual","jbstat","jbrgsc","hoh","jbstathoh","fihhyr2","fihhyr_a","dfihhyr","dfihhyr_a","dfihhyrchg","dfihhyrchg_a","us","ustot","ustot_a","ustot_grp5","ustoty_a","ustotdy_a","ustoty_grp5","ustotdy_grp5","xpus","xpus_a","xpusy_a","xpusy_grp5","usn","usa","usb","usc","usd","use","usg","ush","usi","usj","tenure","tenure_grp2","tenure_grp3","huresp","hsval","hsval_a","reshsfall","mghave","intmg","mg1tot","mg1tot_a","mg1tot_grp5","mg1toty_a","mg1totdy_a","nequity","xpmg","xpmg_a","xpmgy_a","xpmgdy_a","xpmgy_grp5","xpmgdy_grp5","fixmg","fixmg09","fixpmg_a","fnxpmg_a","fixpmg09","fnxpmg09","changepmg","changepmg_a","fxuse1","fxuse2","fxuse3","fxuse4","fxuse5","fxuse6","pmguse1","pmguse2","pmguse3","pmguse4","pmguse5","pmguse6","pmguse7","pmguse8","xphsdf.1","xphpdf","billscc.1","xphdr1.1","xphdr2.1","xphdr3.1","xphdr4.1","xphdr5.1","xphdr6.1","xphdr7.1","xphdr8.1","xphdr9.1","xphdr10.1","xphdr11.1","xphdr12.1","xphdr13.1","xphdr14.1","xphdr15","xphdd1.1","xphdd2.1","xphdd3.1","xphdd4.1","xphdd5.1","xphdd6.1","xphdd7.1","xphdd8.1","xphdd9.1","xphdd10","xphdd11","xphdd12","xphdd13","xphdd14","hscntcr1.1","hscntcr2.1","hscntcr.1","hscrchg.1","saveamount","saveamount_a","saving.1","saving11","savebcs","savebcs1","savebcs2","savebcs3","savebcs4","savebcs5","savebcs6","savebcs7","savebcs8","savebcs9","savebcs10","savebcs11","savebcs12","savebcs13","desave11bcs1","desave11bcs2","desave11bcs3","desave11bcs4","desave11bcs5","desave11bcs6","save11bcs1","save11bcs2","save11bcs3","save11bcs4","save11bcs5","save11bcs6","save11bcs7","save11bcs8","save11bcs9","save11bcs10","save11bcs11","save11bcs12","spend","nvesttot","nvesttot_a","othassets","debtconc","debtconc_act1","debtconc_act2","debtconc_act3","debtconc_act4","debtconc_act5","debtconc_act6","debtconc_act7","chdebtconc","pubsecty","fisc_conc1","fisc_conc2","fisc_conc3","fisc_conc4","fisc_conc5","fisc_conc6","fisc_conc7","fisc_conc8","fisc_conc9","fisc_act1","fisc_act2","fisc_act3","fisc_act4","fisc_act5","fisc_act6","fisc_act7","fisc_act8","fisc_act9","fisc_impact1","fisc_impact2","fisc_impact3","fisc_impact4","fisc_impact5","fisc_impact6","fisc_impact7","fisc_impact8","fisc11_act1","fisc11_act2","fisc11_act3","fisc11_act4","fisc11_act5","fisc11_act6","fisc11_conc1","fisc11_conc2","fisc11_conc3","fisc11_conc4","fisc11_conc5","fisc11_conc6","fisc11_conc7","fisc11_conc8","fisc_likact1","fisc_likact2","fisc_likact3","fisc_likact4","fisc_likact5","fisc_likact6","forebearsec1","forebearsec2","forebearsec3","forebearsec4","forebearsec5","forebearsec6","forebearsec7","forebearsec8","forebeareffsec","brrise","forebearunsec1","forebearunsec2","forebearunsec3","forebearunsec4","forebearunsec5","forebeareffunsec","uncert","uncertch"
"1",1,-0.098680657114403,0.0299175710765058,2,"2","no","keeping up, struggle from time to time","no","no","no","no","no","no","no","no","no","no","yes","no","no","yes","no","no","no","no","no","no","no","yes","no","yes","no","yes","harder","yes - slightly increase",328,0.706,2009,"male","33","25-34","North","north east","never married","yes","1",NA,"0",NA,"no","no","no","no","no formal qualifications","long-term sick/disab","E","yes","long-term sick/disab","£4,500-£6,499","5500","<£200","100","down >£100",-150,"yes","£2,000-2,499","2250","£1,000-£4,999","0.409090906","1.875","0.25-0.5",">1","<£10","5","0.010909091",NA,"3","no","yes","yes","no","yes","no","no","no","no","private rented","renter","renter","not applicable","not applicable","0",NA,"no","not applicable","not applicable","0","0","0","0","not applicable","not applicable","0","0","0","0","0",NA,"not applicable",NA,NA,"not applicable","not applicable",NA,NA,"not applicable","not applicable","not applicable","not applicable","not applicable","not applicable",NA,NA,NA,NA,NA,NA,NA,NA,"no","heavy","keeping up, struggle from time to time","no","no","no","no","no","no","no","no","no","no","yes","no","no","yes",NA,"no","no","no","no","no","no","no","yes","no",NA,NA,NA,NA,NA,"yes","no","yes","harder",NA,NA,"yes - slightly increase",NA,"other",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1",2,-0.102026772652281,0.0663064036152449,2,"2","yes","keeping up, constant struggle","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","yes","no","yes","the same","no - definitely not",77,1.943,2009,"female","42","35-44","South West","south west","marrried or couple","yes","5+",NA,"3",NA,"no","no","yes","yes","gcse/o-level/cse","in paid employ","D","yes","in paid employ","£30,000-£39,999","35000","£400-£499","450","down £50-£100",-75,"yes","£500-999","750","<£1,000","0.021428572","0.138888896","<0.25","<0.25","<£10","5","0.001714286",NA,"1","no","no","no","no","no","no","yes","no","no","mortgagor","owner","mortgagor","yes","£90,000-£99,999","187500",NA,"yes","fixed","£110,000-£129,999","120000","£90,000-£149,999","3.428571463","22.22222137","no","£800-£849","825","0.28285715","1.833333373","0.2-0.35",">0.5",NA,"no",NA,NA,"not applicable","increased by £250-299",NA,NA,"not applicable","not applicable","not applicable","not applicable","not applicable","not applicable",NA,NA,NA,NA,NA,NA,NA,NA,"yes","no","keeping up, constant struggle","no","no","yes","no","no","no","no","no","no","no","no","no","no","no",NA,"no","no","no","no","no","no","no","yes","no",NA,NA,NA,NA,NA,"yes","no","yes","the same",NA,NA,"no - definitely not",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1",3,0.0785190667150183,0.0249348410734941,1,"1","no","keeping up without much difficulty","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","the same","yes - significantly increase",738,1.63,2009,"female","45","45-54","South East","eastern","widowed/divorced/separated","yes","2",NA,"1",NA,"no","no","no","yes","gcse/o-level/cse","in paid employ","B","yes","in paid employ","£30,000-£39,999","35000","£900-£999","950","down £50-£100",-75,"no","not applicable","not applicable","not applicable","0","0","0","0","not applicable","0","0",NA,"0","no","no","no","no","no","no","no","no","no","mortgagor","owner","mortgagor","yes","£80,000-£89,999","162500",NA,"yes","fixed","£80,000-£89,999","85000","£60,000-£89,999","2.428571463","7.456140518","no","£550-£599","575","0.197142854","0.605263174","0.1-0.2",">0.5",NA,"no",NA,NA,"not applicable","more or less the same",NA,NA,"not applicable","not applicable","not applicable","not applicable","not applicable","not applicable",NA,NA,NA,NA,NA,NA,NA,NA,"no","not applicable","keeping up without much difficulty","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable",NA,"not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable",NA,NA,NA,NA,NA,"no","no","no","the same",NA,NA,"yes - significantly increase",NA,"other",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",4,0.104268907127847,-0.130793655922556,1,"3","no","keeping up, constant struggle","no","no","no","no","no","no","no","yes","no","yes","yes","no","no","yes","no","no","no","no","no","yes","yes","yes","no","no","no","no","the same","no - definitely not",607,1.802,2009,"male","53","45-54","South East","eastern","widowed/divorced/separated","yes","2",NA,"0",NA,"no","no","no","no","a-level or equivalent (=nvq3)","in paid employ","B","yes","in paid employ","£17,500-£24,999","21250","£300-£399","350","down £50-£100",-75,"yes","£25,000-29,999","27500",">£20,000","1.294117689","6.547618866",">1",">1","don't know","don't know","not applicable",NA,"4","yes","no","no","no","no","no","yes","yes","yes","private rented","renter","renter","not applicable","not applicable","0",NA,"no","not applicable","not applicable","0","0","0","0","not applicable","not applicable","0","0","0","0","0",NA,"not applicable",NA,NA,"not applicable","not applicable",NA,NA,"not applicable","not applicable","not applicable","not applicable","not applicable","not applicable",NA,NA,NA,NA,NA,NA,NA,NA,"no","heavy","keeping up, constant struggle","no","no","no","no","no","no","no","yes","no","yes","yes","no","no","yes",NA,"no","no","no","no","no","yes","yes","yes","no",NA,NA,NA,NA,NA,"no","no","no","the same",NA,NA,"no - definitely not",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",5,-0.202169174722721,-0.0180877512102693,2,"4","yes","keeping up, struggle from time to time","yes","no","no","no","no","yes","no","no","no","no","yes","no","no","no","yes","no","no","no","no","no","no","yes","no","yes","no","yes","harder","yes - slightly increase",825,0.758,2009,"male","21","18-24","North West","north west","never married","no","3",NA,"0",NA,"no","no","no","no","vocational qualifications (=nvq1+2)","unemployed","C2","no","in paid employ","not applicable","not applicable","<£200","100","down £50-£100",-75,"no","not applicable","not applicable","not applicable","not applicable","0","not applicable","0","not applicable","0","not applicable",NA,"0","no","no","no","no","no","no","no","no","no","mortgagor","owner","mortgagor","no","not applicable","not applicable",NA,"yes","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable",NA,"not applicable",NA,NA,"not applicable","not applicable",NA,NA,"not applicable","not applicable","not applicable","not applicable","not applicable","not applicable",NA,NA,NA,NA,NA,NA,NA,NA,"yes","not applicable","keeping up, struggle from time to time","yes","no","no","no","no","yes","no","no","no","no","yes","no","no","no",NA,"yes","no","no","no","no","no","no","yes","no",NA,NA,NA,NA,NA,"yes","no","yes","harder",NA,NA,"yes - slightly increase",NA,"don't know",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1",6,0.071030204502011,0.0175859631003852,1,"1","no","keeping up without much difficulty","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","the same","no - not particularly",1758,0.667,2009,"female","22","18-24","Wales","wales","never married","yes","2",NA,"0",NA,"no","no","no","no","a-level or equivalent (=nvq3)","in paid employ","C2","yes","in paid employ","£40,000-£49,999","45000","£700-£799","750","no change",0,"yes","£500-999","750","<£1,000","0.016666668","0.083333336","<0.25","<0.25","£130-£139","170","0.045333333",NA,"2","yes","no","no","no","no","no","no","no","yes","private rented","renter","renter","not applicable","not applicable","0",NA,"no","not applicable","not applicable","0","0","0","0","not applicable","not applicable","0","0","0","0","0",NA,"not applicable",NA,NA,"not applicable","not applicable",NA,NA,"not applicable","not applicable","not applicable","not applicable","not applicable","not applicable",NA,NA,NA,NA,NA,NA,NA,NA,"no","no","keeping up without much difficulty","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable",NA,"not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable",NA,NA,NA,NA,NA,"no","no","no","the same",NA,NA,"no - not particularly",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1",7,-0.0330864916806677,0.0725576762847916,2,"2","no","keeping up without much difficulty","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","yes","harder","no - not particularly",325,0.628,2009,"male","62","55-64","Wales","wales","never married","yes","2",NA,"0",NA,"no","no","no","no","no formal qualifications","retired","D","no","in paid employ","£7,500-£9,499","8500","<£200","100","no change",0,"yes","£15,000-19,999","17500","£10,000-£19,999","2.058823586","14.58333302",">1",">1","£80-£89","85","0.119999997",NA,"1","no","yes","no","no","no","no","no","no","no","mortgagor","owner","mortgagor","yes","£60,000-£69,999","112500",NA,"yes","don't know","£40,000-£49,999","45000","£30,000-£59,999","5.294117451","37.5","no","£150-£199","175","0.247058824","1.75","0.2-0.35",">0.5",NA,"no",NA,NA,"not applicable","more or less the same",NA,NA,"not applicable","not applicable","not applicable","not applicable","not applicable","not applicable",NA,NA,NA,NA,NA,NA,NA,NA,"no","somewhat","keeping up without much difficulty","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable",NA,"not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable",NA,NA,NA,NA,NA,"no","yes","yes","harder",NA,NA,"no - not particularly",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1",8,0.096380270503693,-0.0346641938320862,1,"1","no","keeping up, struggle from time to time","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","the same","yes - significantly increase",1103,2.26,2009,"female","38","35-44","E Anglia","eastern","marrried or couple","yes","3",NA,"1",NA,"no","no","no","yes","bachelor degree or equivalent (=nvq4)","in paid employ","B","yes","in paid employ","£15,500-£17,499","16500","£400-£499","450","no change",0,"yes","£3,000-3,499","3250","£1,000-£4,999","0.196969703","0.601851881","<0.25","0.5-0.75","£20-£29","25","0.018181818",NA,"1","no","no","yes","no","no","no","no","no","no","mortgagor","owner","mortgagor","yes","£100,000-£109,999","212500",NA,"yes","fixed","£50,000-£59,999","55000","£30,000-£59,999","3.333333254","10.18518543","no","£400-£449","425","0.309090912","0.944444418","0.2-0.35",">0.5",NA,"no",NA,NA,"not applicable","more or less the same",NA,NA,"not applicable","not applicable","not applicable","not applicable","not applicable","not applicable",NA,NA,NA,NA,NA,NA,NA,NA,"no","somewhat","keeping up, struggle from time to time","no","yes","no","no","no","no","no","no","no","no","no","no","no","no",NA,"no","no","no","no","no","no","no","no","yes",NA,NA,NA,NA,NA,"no","no","no","the same",NA,NA,"yes - significantly increase",NA,"value of existing investments fallen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",9,-0.108837416115641,-0.0347154950625894,2,"4","yes","falling behind on some","no","no","yes","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","yes","no","no","no","yes","no","yes","the same","no - not particularly",1407,0.631,2009,"male","35","35-44","Greater London","london","marrried or couple","yes","5+",NA,"2",NA,"no","no","yes","no","bachelor degree or equivalent (=nvq4)","something else","C2","no","in paid employ","refused","refused","<£200","100","down >£100",-150,"yes","£1,500-1,999","1750","£1,000-£4,999","not applicable","1.458333373","not applicable",">1","£40-£49","45","not applicable",NA,"2","no","no","yes","no","no","no","yes","no","no","private rented","renter","renter","not applicable","not applicable","0",NA,"no","not applicable","not applicable","0","0","not applicable","0","not applicable","not applicable","0","not applicable","0","not applicable","0",NA,"not applicable",NA,NA,"not applicable","not applicable",NA,NA,"not applicable","not applicable","not applicable","not applicable","not applicable","not applicable",NA,NA,NA,NA,NA,NA,NA,NA,"yes","heavy","falling behind on some","no","no","yes","no","no","no","no","no","no","no","yes","no","no","no",NA,"no","no","no","no","no","yes","no","no","no",NA,NA,NA,NA,NA,"yes","no","yes","the same",NA,NA,"no - not particularly",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1",10,0.112735594794012,-0.0119101392259521,1,"1","no","keeping up, struggle from time to time","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","yes","no","no","no","no","no","the same","yes - slightly increase",1134,0.956,2009,"female","41","35-44","Yorks&Humber","yorks and humbr","marrried or couple","yes","5+",NA,"4",NA,"no","yes","no","yes","masters/phd or equivalent","self employed","B","yes","self employed","£30,000-£39,999","35000","£1,000-£1,199","1100","down >£100",-150,"no","not applicable","not applicable","not applicable","0","0","0","0","not applicable","0","0",NA,"0","no","no","no","no","no","no","no","no","no","housing association rented","renter","renter","not applicable","not applicable","0",NA,"no","not applicable","not applicable","0","0","0","0","not applicable","not applicable","0","0","0","0","0",NA,"not applicable",NA,NA,"not applicable","not applicable",NA,NA,"not applicable","not applicable","not applicable","not applicable","not applicable","not applicable",NA,NA,NA,NA,NA,NA,NA,NA,"no","not applicable","keeping up, struggle from time to time","no","no","no","no","no","no","no","no","no","no","no","no","yes","no",NA,"no","no","no","no","no","no","yes","no","no",NA,NA,NA,NA,NA,"no","no","no","the same",NA,NA,"yes - slightly increase",NA,"other",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
