"","mds1","mds2","clust2","clust4","xphsdf","billscc","xphdd1","xphdd2","xphdd3","xphdd4","xphdd5","xphdd6","xphdd7","xphdd8","xphdd9","xphdd10","xphdd11","hscntcr1","hscntcr2","hscntcr","hscrchg","saving11","fisc_impact1","fisc_impact2","fisc_impact3","fisc_impact4","fisc_impact5","fisc_impact6","fisc_impact7","fisc_impact8","fisc11_act1","fisc11_act2","fisc11_act3","fisc11_act4","fisc11_act5","fisc11_act6","uncert","uncertch","id","weight","year","sex","age","age_grp","region","gor","mastat","hushop","hhsize","lstage","nkids","parent","ch03","ch45","ch69","ch1015","qual","jbstat","jbrgsc","hoh","jbstathoh","fihhyr2","fihhyr_a","dfihhyr","dfihhyr_a","dfihhyrchg","dfihhyrchg_a","us","ustot","ustot_a","ustot_grp5","ustoty_a","ustotdy_a","ustoty_grp5","ustotdy_grp5","xpus","xpus_a","xpusy_a","xpusy_grp5","usn","usa","usb","usc","usd","use","usg","ush","usi","usj","tenure","tenure_grp2","tenure_grp3","huresp","hsval","hsval_a","reshsfall","mghave","intmg","mg1tot","mg1tot_a","mg1tot_grp5","mg1toty_a","mg1totdy_a","nequity","xpmg","xpmg_a","xpmgy_a","xpmgdy_a","xpmgy_grp5","xpmgdy_grp5","fixmg","fixmg09","fixpmg_a","fnxpmg_a","fixpmg09","fnxpmg09","changepmg","changepmg_a","fxuse1","fxuse2","fxuse3","fxuse4","fxuse5","fxuse6","pmguse1","pmguse2","pmguse3","pmguse4","pmguse5","pmguse6","pmguse7","pmguse8","xphsdf","xphpdf","billscc","xphdr1","xphdr2","xphdr3","xphdr4","xphdr5","xphdr6","xphdr7","xphdr8","xphdr9","xphdr10","xphdr11","xphdr12","xphdr13","xphdr14","xphdr15","xphdd1","xphdd2","xphdd3","xphdd4","xphdd5","xphdd6","xphdd7","xphdd8","xphdd9","xphdd10","xphdd11","xphdd12","xphdd13","xphdd14","hscntcr1","hscntcr2","hscntcr","hscrchg","saveamount","saveamount_a","saving","saving11","savebcs","savebcs1","savebcs2","savebcs3","savebcs4","savebcs5","savebcs6","savebcs7","savebcs8","savebcs9","savebcs10","savebcs11","savebcs12","savebcs13","desave11bcs1","desave11bcs2","desave11bcs3","desave11bcs4","desave11bcs5","desave11bcs6","save11bcs1","save11bcs2","save11bcs3","save11bcs4","save11bcs5","save11bcs6","save11bcs7","save11bcs8","save11bcs9","save11bcs10","save11bcs11","save11bcs12","spend","nvesttot","nvesttot_a","othassets","debtconc","debtconc_act1","debtconc_act2","debtconc_act3","debtconc_act4","debtconc_act5","debtconc_act6","debtconc_act7","chdebtconc","pubsecty","fisc_conc1","fisc_conc2","fisc_conc3","fisc_conc4","fisc_conc5","fisc_conc6","fisc_conc7","fisc_conc8","fisc_conc9","fisc_act1","fisc_act2","fisc_act3","fisc_act4","fisc_act5","fisc_act6","fisc_act7","fisc_act8","fisc_act9","fisc_impact1","fisc_impact2","fisc_impact3","fisc_impact4","fisc_impact5","fisc_impact6","fisc_impact7","fisc_impact8","fisc11_act1","fisc11_act2","fisc11_act3","fisc11_act4","fisc11_act5","fisc11_act6","fisc11_conc1","fisc11_conc2","fisc11_conc3","fisc11_conc4","fisc11_conc5","fisc11_conc6","fisc11_conc7","fisc11_conc8","fisc_likact1","fisc_likact2","fisc_likact3","fisc_likact4","fisc_likact5","fisc_likact6","forebearsec1","forebearsec2","forebearsec3","forebearsec4","forebearsec5","forebearsec6","forebearsec7","forebearsec8","forebeareffsec","brrise","forebearunsec1","forebearunsec2","forebearunsec3","forebearunsec4","forebearunsec5","forebeareffunsec","uncert","uncertch"
"1",0.118408827332367,0.0350566084730627,"1","1","no","keeping up without much difficulty","no","no","no","no","no","no","no","no","no","no","no","no","no","no","the same","Not changing","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","vague idea","no change",1476,1.2,2011,"male","62","55-64","North West","north west","marrried or couple","yes","2","post family","0","no","no","no","no","no","gcse/o-level/cse","in paid employ","C1","no","in paid employ","refused","refused","£300-£399","350","no change",0,"no","not applicable","not applicable","not applicable","not applicable","0","not applicable","0","not applicable","0","not applicable","not applicable","0","no","no","no","no","no","no","no","no","no","owner outright","owner","owner outright","yes","","",NA,"no","not applicable","not applicable","0","0","not applicable","0",NA,"not applicable","0","not applicable","0","not applicable","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no","not applicable","keeping up without much difficulty",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable",NA,NA,NA,"no","no","no","the same","£25-£49",37.5,NA,"Don’t plan to change my monthly savings",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","",NA,"£3,000 - £3,999","3500",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no","no","no","no","no","yes","no","no","","","","","","","no","no","no","no","no","yes","no","no","","","","","","","","","","","","","","","","","","","","","","","vague idea","no change"
"2",-0.0852496869106479,-0.149734374569735,"2","3","yes","falling behind on some","no","no","no","no","no","yes","yes","no","no","no","no","no","no","no","harder","Increase","yes","no","yes","yes","no","no","no","no","no","no","no","no","yes","no","good idea","less certain",503,0.893,2011,"male","57","55-64","E Midlands","west midlands","marrried or couple","yes","3","post family","0","no","no","no","no","no","a-level or equivalent (=nvq3)","in paid employ","C1","no","in paid employ","£40,000-£49,999","45000","<£200","100","down >£100",-150,"yes","£5,000-5,499","5250","£5,000-£9,999","0.116666667","4.375","<0.25",">1","£150-£159","210","0.056000002","0.05-0.1","4","no","yes","yes","yes","no","no","no","no","yes","mortgagor","owner","mortgagor","yes","£60,000-£69,999","112500",NA,"yes","fixed","£60,000-£69,999","65000","£60,000-£89,999","1.444444418","54.16666794",NA,"£800-£849","825","0.219999999","8.25","0.2-0.35",">0.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes","heavy","falling behind on some",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no","no","no","no","no","yes","yes","no","no","no","no",NA,NA,NA,"no","no","no","harder","none",0,NA,"Increase by £100-£149 a month",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","No","Yes","Yes","No","No","No","No","No","No","Yes","No","No",NA,"<£500","250",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes","no","yes","yes","no","no","no","no","no","no","no","no","yes","no","yes","no","no","yes","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","yes","","","no","yes","no","no","no","I would be up to date with my loan payments, but it would be a struggle","good idea","less certain"
"3",0.0351891986677687,-0.0220920366635738,"1","2","no","keeping up, constant struggle","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","harder","Decrease","no","no","no","yes","no","no","no","no","no","no","no","no","yes","no","no idea","no change",1945,1.343,2011,"female","31","25-34","North West","north west","marrried or couple","no","4","family","2","yes","yes","no","no","no","no formal qualifications","in paid employ","C2","yes","in paid employ","£6,500-£7,499","7000","<£200","100","down >£100",-150,"yes","<£200","100","<£1,000","0.014285714","0.083333336","<0.25","<0.25","<£10","5","0.008571428","<0.05","1","yes","no","no","no","no","no","no","no","no","mortgagor","owner","mortgagor","yes","£60,000-£69,999","112500",NA,"yes","discounted","£20,000-£29,999","25000","<£30,000","3.571428537","20.83333397",NA,"don't know","don't know","not applicable","not applicable","not applicable","not applicable",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no","somewhat","keeping up, constant struggle",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no","no","yes","no","no","no","no","no","no","no","no",NA,NA,NA,"no","no","no","harder","none",0,NA,"Decrease by £200-£299 a month",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","No","Yes","No","No","","","","","","","","","","","","",NA,"<£500","250",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no","no","no","yes","no","no","no","no","no","no","no","no","yes","no","no","yes","no","no","no","no","no","no","no","no","no","no","yes","no","no","yes","no","no","no","no","no","no","I would be up to date with my mortgage payments, without much struggle. ","£0-49","no","yes","no","no","no","I would be behind on my loan payments","no idea","no change"
"4",0.00155205275289668,0.0176304462040461,"1","1","no","keeping up, struggle from time to time","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","harder","Decrease","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","vague idea","less certain",1912,1.797,2011,"female","23","18-24","South East","south east","marrried or couple","yes","2","pre family","0","no","no","no","no","no","other","in paid employ","B","yes","in paid employ","don't know","don't know","<£200","100","down <£50",-25,"yes","£200-499","350","<£1,000","not applicable","0.291666657","not applicable","0.25-0.5","don't know","don't know","not applicable","not applicable","1","no","no","no","no","no","no","yes","no","no","private rented","renter","renter","not applicable","not applicable","0",NA,"no","not applicable","not applicable","0","0","not applicable","0",NA,"not applicable","0","not applicable","0","not applicable","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no","somewhat","keeping up, struggle from time to time",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no","no","no","no","no","yes","no","no","no","no","no",NA,NA,NA,"no","no","no","harder","none",0,NA,"Decrease by £300 or more a month",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"don't know","don't know","don't know","don't know","don't know","don't know","","","","","","","","","","","","",NA,"none","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no","no","no","no","no","yes","no","no","","","","","","","no","no","yes","yes","yes","no","no","no","no","no","no","yes","no","no","","","","","","","","","","","no","no","no","no","yes","","vague idea","less certain"
"5",-0.225167611804398,-0.164765567711041,"2","4","no","keeping up, constant struggle","no","no","no","no","no","yes","no","no","no","yes","yes","no","yes","yes","harder","Increase","yes","no","no","yes","yes","no","no","no","no","no","yes","yes","no","no","vague idea","more certain",497,2.532,2011,"female","31","25-34","South East","south east","marrried or couple","yes","5+","family","2","yes","no","no","yes","no","a-level or equivalent (=nvq3)","in paid employ","D","yes","in paid employ","£30,000-£39,999","35000","<£200","100","down >£100",-150,"yes","£5,500-5,999","5750","£5,000-£9,999","0.164285719","4.791666508","<0.25",">1","£220-£229","425","0.145714283","0.1-0.2","1","no","yes","no","no","no","no","no","no","no","private rented","renter","renter","not applicable","not applicable","0",NA,"no","not applicable","not applicable","0","0","0","0",NA,"not applicable","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no","heavy","keeping up, constant struggle",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no","no","no","no","no","yes","no","no","no","yes","yes",NA,NA,NA,"no","yes","yes","harder","none",0,NA,"Increase by £150-£199 a month",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","Yes","No","Yes","No","No","No","No","No","No","Yes","No","Yes",NA,"£1,000 - £1,999","1500",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes","no","no","yes","yes","no","no","no","no","no","yes","yes","no","no","yes","no","no","yes","yes","no","no","no","yes","no","no","yes","no","no","","","","","","","","","","","no","yes","no","no","no","I would be behind on my loan payments","vague idea","more certain"
"6",-0.163333244611474,0.00992287817905713,"2","3","yes","keeping up, struggle from time to time","yes","no","no","no","no","no","no","no","no","no","no","yes","yes","yes","harder","Not changing","yes","no","yes","yes","no","no","no","no","no","no","no","no","yes","no","good idea","no change",404,0.791,2011,"female","32","25-34","Greater London","london","widowed/divorced/separated","yes","1","single","0","no","no","no","no","no","vocational qualifications (=nvq1+2)","long-term sick/disab","E","yes","long-term sick/disab","£6,500-£7,499","7000","£200-£299","250","down <£50",-25,"yes","<£200","100","<£1,000","0.014285714","0.033333335","<0.25","<0.25","£100-£109","110","0.188571423","0.1-0.2","3","yes","yes","no","no","yes","no","no","no","no","local authority rented","renter","renter","not applicable","not applicable","0",NA,"no","not applicable","not applicable","0","0","0","0",NA,"not applicable","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes","somewhat","keeping up, struggle from time to time",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes","no","no","no","no","no","no","no","no","no","no",NA,NA,NA,"yes","yes","yes","harder","<=25",12.5,NA,"Don’t plan to change my monthly savings",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","",NA,"£1,000 - £1,999","1500",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes","no","yes","yes","no","no","no","no","no","no","no","no","yes","no","no","no","no","yes","no","no","no","no","no","no","no","no","yes","no","","","","","","","","","","","no","no","no","yes","no","I would be up to date with my loan payments, but it would be a struggle","good idea","no change"
"7",-0.0646102985544726,-0.0857370362628634,"1","2","no","keeping up, struggle from time to time","no","no","no","no","no","yes","no","no","no","no","no","yes","no","yes","the same","Not changing","no","no","yes","no","yes","no","no","no","no","no","no","no","yes","no","good idea","more certain",622,1.325,2011,"female","61","55-64","Yorks&Humber","yorks and humbr","widowed/divorced/separated","yes","3","family","1","no","no","no","yes","no","vocational qualifications (=nvq1+2)","in paid employ","D","yes","in paid employ","£17,500-£24,999","21250","£300-£399","350","down £50-£100",-75,"yes","£1,500-1,999","1750","£1,000-£4,999","0.082352944","0.416666657","<0.25","0.25-0.5","<£10","5","0.002823529","<0.05","1","yes","no","no","no","no","no","no","no","no","private rented","renter","renter","not applicable","not applicable","0",NA,"no","not applicable","not applicable","0","0","0","0",NA,"not applicable","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no","heavy","keeping up, struggle from time to time",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no","no","no","no","no","yes","no","no","no","no","no",NA,NA,NA,"yes","no","yes","the same","none",0,NA,"Don’t plan to change my monthly savings",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","",NA,"£20,000 - £24,999","22500",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no","no","yes","no","yes","no","no","no","no","no","no","no","yes","no","no","no","no","no","yes","no","no","no","no","no","no","no","yes","no","","","","","","","","","","","no","no","yes","no","no","I would be up to date with my loan payments, but it would be a struggle","good idea","more certain"
"8",0.117372479728834,-0.0661697681330786,"1","2","no","keeping up without much difficulty","no","no","no","no","no","no","no","no","no","no","no","no","no","no","the same","Not changing","no","no","no","no","yes","no","no","no","no","no","no","no","yes","no","good idea","no change",13,1.096,2011,"male","38","35-44","Greater London","eastern","marrried or couple","yes","3","family","1","yes","no","yes","no","no","gcse/o-level/cse","something else","C1","no","in paid employ","£50,000-£74,999","62500","£800-£899","850","down £50-£100",-75,"no","not applicable","not applicable","not applicable","0","0","0","0","not applicable","0","0","0","0","no","no","no","no","no","no","no","no","no","mortgagor","owner","mortgagor","yes","£140,000-£149,999","325000",NA,"yes","don't know","<£10,000","5000","<£30,000","0.079999998","0.490196079",NA,"<£100","65","0.01248","0.076470591","<0.1","<0.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no","not applicable","keeping up without much difficulty",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable",NA,NA,NA,"no","no","no","the same","none",0,NA,"Don’t plan to change my monthly savings",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","",NA,"£10,000 - £12,499","11250",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no","no","no","no","yes","no","no","no","no","no","no","no","yes","no","no","no","no","no","yes","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","yes","","","","","","","","","good idea","no change"
"9",0.112404487815363,0.0361120044607482,"1","1","yes","keeping up without much difficulty","no","no","no","no","no","no","no","no","no","no","no","no","no","no","the same","Not changing","no","no","no","no","no","no","no","yes","no","no","no","no","no","yes","good idea","no change",669,1.342,2011,"female","36","35-44","Yorks&Humber","yorks and humbr","never married","yes","1","single","0","no","no","no","no","no","bachelor degree or equivalent (=nvq4)","in paid employ","C1","yes","in paid employ","£30,000-£39,999","35000","£200-£299","250","down >£100",-150,"yes",">£30,000","40000",">£20,000","1.142857194","13.33333302",">1",">1","£240-£249","550","0.188571423","0.1-0.2","4","no","no","yes","no","no","yes","yes","yes","no","mortgagor","owner","mortgagor","yes","£60,000-£69,999","112500",NA,"yes","other ","£100,000-£109,999","105000","£90,000-£149,999","3","35",NA,"<£100","65","0.022285715","0.25999999","<0.1","0.2-0.35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes","heavy","keeping up without much difficulty",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable",NA,NA,NA,"no","no","no","the same","£250-£299",275,NA,"Don’t plan to change my monthly savings",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","",NA,"£10,000 - £12,499","11250",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no","no","no","no","no","no","no","yes","no","no","no","no","no","yes","no","no","no","yes","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","yes","","","no","no","no","no","yes","","good idea","no change"
"10",-0.110943747331701,0.00988984484330269,"2","3","no","keeping up, constant struggle","no","no","no","no","no","yes","no","no","no","yes","yes","no","yes","yes","harder","Not changing","yes","no","no","no","no","no","no","no","no","no","no","yes","no","no","good idea","no change",483,1.224,2011,"male","32","25-34","Yorks&Humber","yorks and humbr","marrried or couple","yes","3","family","1","yes","yes","no","no","no","bachelor degree or equivalent (=nvq4)","in paid employ","D","no","in paid employ","£25,000-£29,999","27500","<£200","100","down >£100",-150,"yes","£3,000-3,499","3250","£1,000-£4,999","0.118181817","2.708333254","<0.25",">1","£100-£109","110","0.048","<0.05","4","yes","yes","yes","no","no","no","yes","no","no","mortgagor","owner","mortgagor","yes","£70,000-£79,999","137500",NA,"yes","variable","£50,000-£59,999","55000","£30,000-£59,999","2","45.83333206",NA,"£250-£299","275","0.119999997","2.75","0.1-0.2",">0.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no","somewhat","keeping up, constant struggle",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no","no","no","no","no","yes","no","no","no","yes","yes",NA,NA,NA,"no","yes","yes","harder","none",0,NA,"Don’t plan to change my monthly savings",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","",NA,"<£500","250",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes","no","no","no","no","no","no","no","no","no","no","yes","no","no","yes","no","no","no","yes","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","yes","","£0-49","no","no","no","no","yes","","good idea","no change"
